Date,Soybeans,shock_type,shock_direction,window_active,is_strong,ret_5d_at_shock,ret_10d_at_shock,ret_active_at_shock,oil_5d_at_shock,oil_10d_at_shock,oil_active_at_shock,soyoil_5d_at_shock,soyoil_10d_at_shock,ok,spike_size_pct,peak_day,peak_gain_pct,half_fade_day,full_fade_day,ret_30d_pct,persistence_30d_pct,survived_30d
2023-11-15,1385.0,soyoil_driven,up,10d,True,0.026686434395848835,0.0726040658276863,0.0726040658276863,0.01765567235797416,-0.04699152989273325,-0.04699152989273325,0.06206203056599646,0.06312620470658703,True,2.67,0,2.67,1.0,2.0,-4.11,-154.2,False
2023-11-16,1360.25,speculative_up,up,10d,False,0.024477499529278912,0.04313650306748462,0.04313650306748462,-0.03749665194074614,-0.11593497046732215,-0.11593497046732215,0.023389500244420436,0.026033413776545666,True,2.45,3,3.73,5.0,10.0,-4.05,-108.6,False
2023-12-05,1305.5,oil_collapse,down,10d,False,-0.03044931303379128,-0.0451636496617297,-0.0451636496617297,-0.053527074614097,-0.06804122272061264,-0.06804122272061264,-0.05849266822196275,-0.05441535222059768,True,-3.04,26,-10.45,,,-9.9,94.7,True
2023-12-06,1295.5,oil_collapse,down,10d,False,-0.03823311061618406,-0.05935741513886372,-0.05935741513886372,-0.10891347663059447,-0.10788221360166983,-0.10788221360166983,-0.06435078530770955,-0.09042254724779675,True,-3.82,25,-10.49,,,-9.11,86.9,True
2024-01-03,1269.5,speculative_down,down,10d,False,-0.033314296592423354,-0.04333082140165789,-0.04333082140165789,-0.03797807010946164,0.003173668051124068,0.003173668051124068,0.003965740499146442,-0.050157996566772556,True,-3.33,30,-11.5,,,-11.5,100.0,True
2024-01-04,1262.0,speculative_down,down,5d,False,-0.041579646857793806,-0.03847619047619044,-0.041579646857793806,-0.025907409973454087,-0.01702069660192762,-0.025907409973454087,-0.0074626989599019256,-0.05617974570940554,True,-4.16,29,-11.73,,,-10.97,93.5,True
2024-01-05,1249.75,speculative_down,down,10d,False,-0.04252058992530172,-0.044716223963309765,-0.044716223963309765,0.028424146731856226,-0.005524166738965386,-0.005524166738965386,-0.006738334348524222,-0.06704911218884013,True,-4.25,28,-10.96,,,-9.67,88.3,True
2024-01-08,1239.5,speculative_down,down,10d,False,-0.04174719752609202,-0.04451724802466761,-0.04451724802466761,-0.012281993915864153,-0.04222496646845453,-0.04222496646845453,-0.008361235882171636,-0.03262647346957459,True,-4.17,30,-10.26,,,-10.26,100.0,True
2024-01-09,1241.5,speculative_down,down,10d,False,-0.025510204081632626,-0.04481631082900561,-0.04481631082900561,0.026427972192926363,-0.017944531520311502,-0.017944531520311502,0.00690516865527413,-0.008448379512159043,True,-2.55,30,-9.91,,,-9.91,100.0,True
2024-01-10,1228.75,oil_collapse,down,10d,True,-0.032099251673887386,-0.06434418427565203,-0.06434418427565203,-0.018294281396009304,-0.05557757000401109,-0.05557757000401109,-0.0049895607356130744,-0.0010436075395489075,True,-3.21,30,-10.75,,,-10.75,100.0,True
2024-01-11,1231.25,speculative_down,down,10d,True,-0.024366085578446883,-0.0649325992025821,-0.0649325992025821,-0.002354977041008288,-0.02820137565878289,-0.02820137565878289,0.010233873284013706,0.002694802008599284,True,-2.44,29,-10.22,,,-9.98,97.7,True
2024-01-12,1205.75,speculative_down,down,10d,True,-0.03520704140828168,-0.0762306071633787,-0.0762306071633787,-0.015309541942755467,0.01267944412252242,0.01267944412252242,0.01229599011170901,0.005474801270666019,True,-3.52,30,-9.48,,,-9.48,100.0,True
2024-01-16,1227.25,speculative_down,down,10d,False,-0.00988301734570396,-0.05121762659451101,-0.05121762659451101,0.023032428431974505,0.010467550370241163,0.010467550370241163,-0.0040050301899040575,-0.012332779069942679,True,-0.99,29,-8.73,,,-8.51,97.5,True
2024-01-17,1205.75,speculative_down,down,10d,False,-0.028795811518324554,-0.0535714285714286,-0.0535714285714286,0.004429674754803825,0.030974714268973802,0.030974714268973802,-0.008728141693016944,-0.001883242328180157,True,-2.88,30,-9.12,,,-9.12,100.0,True
2024-01-18,1213.5,speculative_down,down,10d,False,-0.012410986775178046,-0.044111855061047645,-0.044111855061047645,0.037971122042620875,0.018982186255041666,0.018982186255041666,-0.005014660998873599,-0.009979200778864272,True,-1.24,29,-8.18,,,-6.98,85.3,True
2024-01-19,1213.25,speculative_down,down,10d,False,-0.014619289340101482,-0.038629160063391454,-0.038629160063391454,0.01930029274969125,0.016899863962372752,0.016899863962372752,-0.030390685103713344,-0.02046782624006538,True,-1.46,28,-8.37,,,-6.84,81.8,True
2024-01-24,1240.25,oil_driven,up,5d,False,0.028612896537424826,-0.001006846556584784,0.028612896537424826,0.03486768004993168,0.0394518072868113,0.03486768004993168,-0.007966479287993544,-0.01662508842099042,True,2.86,0,2.86,1.0,3.0,-4.04,-141.3,False
2024-02-07,1189.0,speculative_down,down,10d,False,-0.027203927183473087,-0.04132231404958675,-0.04132231404958675,-0.026235964453558802,-0.016380287488686474,-0.016380287488686474,0.016079918652949443,-0.011834348624314761,True,-2.72,15,-7.69,23.0,,-0.84,10.9,True
2024-02-14,1170.5,speculative_down,down,10d,False,-0.015559293523969675,-0.04233994681939046,-0.04233994681939046,0.03763875922453286,0.010415305621883197,0.010415305621883197,-0.008768174981377386,0.007170752131136604,True,-1.56,10,-5.11,16.0,21.0,0.21,-4.1,False
2024-02-23,1133.0,speculative_down,down,10d,False,-0.025166702516670303,-0.05069124423963134,-0.05069124423963134,-0.019736011016521227,0.0035423332293658127,0.0035423332293658127,-0.043043468309485355,-0.08176884191150857,True,-2.52,4,-2.93,6.0,10.0,1.66,-56.6,False
2024-02-26,1136.0,speculative_down,down,10d,False,-0.030923437833226708,-0.040135192226447014,-0.040135192226447014,-0.02033085693541714,0.009630472780217447,0.009630472780217447,-0.026102185188113802,-0.0605162271948535,True,-3.09,3,-3.75,8.0,11.0,0.19,-5.1,False
2024-02-27,1131.25,speculative_down,down,10d,False,-0.04050042408821031,-0.05176026823134949,-0.05176026823134949,0.008825817839764882,0.025351074155693265,0.025351074155693265,-0.011010790611762022,-0.04243073803246544,True,-4.05,2,-4.3,7.0,10.0,-1.21,28.1,True
2024-02-28,1134.0,speculative_down,down,10d,False,-0.02304544475554593,-0.04404636459430977,-0.04404636459430977,0.008086217735917778,0.008604059911564876,0.008604059911564876,-0.003792147595336748,-0.05581394148480112,True,-2.3,1,-2.8,3.0,7.0,-0.13,4.6,True
2024-03-12,1182.0,soyoil_driven,up,10d,False,0.0361604207758055,0.04486187845303857,0.04486187845303857,-0.007549634750675938,-0.016609675952433678,-0.016609675952433678,0.06110989268196021,0.05165886668240338,True,3.62,7,6.25,14.0,26.0,2.21,35.4,True
2024-03-13,1181.75,soyoil_driven,up,10d,False,0.036395527296645414,0.04210758377425039,0.04210758377425039,0.007456135318640866,0.015024195205254998,0.015024195205254998,0.07168385410171108,0.07456340892145463,True,3.64,6,6.29,13.0,25.0,1.97,31.4,True
2024-03-14,1180.75,soyoil_driven,up,10d,False,0.02052722558340525,0.046532240194992136,0.046532240194992136,0.02951985077975361,0.03833375821761131,0.03833375821761131,0.04603964022154017,0.07344377049940665,True,2.05,5,4.75,12.0,22.0,0.22,4.5,True
2024-03-15,1198.25,soyoil_driven,up,10d,False,0.02370781717214876,0.048337707786526574,0.048337707786526574,0.038841157496772416,0.013380013486197218,0.013380013486197218,0.08377192593530802,0.10757506391669902,True,2.37,4,3.55,10.0,17.0,-0.83,-23.5,False
