Date,expected_return,signal,confidence,expected_vol
2017-03-23,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-03-24,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-03-27,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-03-28,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-03-29,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-03-30,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-03-31,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-04-03,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-04-04,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-04-05,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-04-06,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-04-07,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-04-10,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-04-11,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-04-12,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-04-13,0.06097561,HOLD,0.12195122,0.15093569457530975
2017-04-17,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-04-18,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-04-19,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-04-20,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-04-21,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-04-24,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-04-25,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-04-26,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-04-27,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-04-28,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-05-01,0.06097561,HOLD,0.12195122,0.15093569457530975
2017-05-02,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-05-03,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-05-04,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-05-05,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-05-08,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-05-09,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-05-10,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-05-11,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-05-12,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-05-15,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-05-16,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-05-17,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-05-18,0.06097561,HOLD,0.12195122,0.1827310174703598
2017-05-19,0.06097561,HOLD,0.12195122,0.18666742742061615
2017-05-22,0.06097561,HOLD,0.12195122,0.18666742742061615
2017-05-23,0.06097561,HOLD,0.12195122,0.18666742742061615
2017-05-24,0.06097561,HOLD,0.12195122,0.18666742742061615
2017-05-25,0.06097561,HOLD,0.12195122,0.18666742742061615
2017-05-26,0.06097561,HOLD,0.12195122,0.19313611090183258
2017-05-30,0.06097561,HOLD,0.12195122,0.18666742742061615
2017-05-31,0.06097561,HOLD,0.12195122,0.1781618744134903
2017-06-01,0.06097561,HOLD,0.12195122,0.1811242550611496
2017-06-02,0.06097561,HOLD,0.12195122,0.15389807522296906
2017-06-05,0.06097561,HOLD,0.12195122,0.15389807522296906
2017-06-06,0.06097561,HOLD,0.12195122,0.15389807522296906
2017-06-07,0.06097561,HOLD,0.12195122,0.15389807522296906
2017-06-08,0.06097561,HOLD,0.12195122,0.15389807522296906
2017-06-09,0.06097561,HOLD,0.12195122,0.15389807522296906
2017-06-12,0.06097561,HOLD,0.12195122,0.15389807522296906
2017-06-13,0.06097561,HOLD,0.12195122,0.14912404119968414
2017-06-14,0.06097561,HOLD,0.12195122,0.14912404119968414
2017-06-15,0.06097561,HOLD,0.12195122,0.14912404119968414
2017-06-16,0.06097561,HOLD,0.12195122,0.14912404119968414
2017-06-19,0.06097561,HOLD,0.12195122,0.14912404119968414
2017-06-20,0.06097561,HOLD,0.12195122,0.14912404119968414
2017-06-21,0.06097561,HOLD,0.12195122,0.14912404119968414
2017-06-22,0.06097561,HOLD,0.12195122,0.14912404119968414
2017-06-23,0.06097561,HOLD,0.12195122,0.14912404119968414
2017-06-26,0.06097561,HOLD,0.12195122,0.14912404119968414
2017-06-27,0.06097561,HOLD,0.12195122,0.14912404119968414
2017-06-28,0.06097561,HOLD,0.12195122,0.14912404119968414
2017-06-29,0.06097561,HOLD,0.12195122,0.14912404119968414
2017-06-30,0.06097561,HOLD,0.12195122,0.1856933981180191
2017-07-03,0.06097561,HOLD,0.12195122,0.21651655435562134
2017-07-05,0.06097561,HOLD,0.12195122,0.2012835443019867
2017-07-06,0.06097561,HOLD,0.12195122,0.18860997259616852
2017-07-07,0.06097561,HOLD,0.12195122,0.16953614354133606
2017-07-10,0.06097561,HOLD,0.12195122,0.17208781838417053
2017-07-11,0.032663345,HOLD,0.06532669,0.17111247777938843
2017-07-12,0.06097561,HOLD,0.12195122,0.18203605711460114
