Date,gdelt_tone
2021-04-01,-0.4316
2021-04-02,-0.4132
2021-04-03,-0.4203
2021-04-04,-0.3691
2021-04-05,-0.3613
2021-04-06,-0.3342
2021-04-07,-0.2943
2021-04-08,-0.2463
2021-04-09,-0.306
2021-04-10,-0.3053
2021-04-11,-0.1959
2021-04-12,-0.1731
2021-04-13,-0.1763
2021-04-14,-0.1788
2021-04-15,-0.2497
2021-04-16,-0.2083
2021-04-17,-0.1505
2021-04-18,-0.2872
2021-04-19,-0.3139
2021-04-20,-0.3222
2021-04-21,-0.2891
2021-04-22,-0.2873
2021-04-23,-0.2691
2021-04-24,-0.3444
2021-04-25,-0.3367
2021-04-26,-0.3404
2021-04-27,-0.2814
2021-04-28,-0.2636
2021-04-29,-0.2027
2021-04-30,-0.2208
2021-05-01,-0.1725
2021-05-02,-0.1771
2021-05-03,-0.1052
2021-05-04,-0.1488
2021-05-05,-0.1767
2021-05-06,-0.1571
2021-05-07,-0.1078
2021-05-08,-0.0892
2021-05-09,-0.0147
2021-05-10,-0.0468
2021-05-11,0.0202
2021-05-12,0.0093
2021-05-13,-0.0061
2021-05-14,-0.0541
2021-05-15,-0.0443
2021-05-16,-0.1259
2021-05-17,-0.1408
2021-05-18,-0.2504
2021-05-19,-0.323
2021-05-20,-0.3443
2021-05-21,-0.3618
2021-05-22,-0.4605
2021-05-23,-0.4201
2021-05-24,-0.4673
2021-05-25,-0.4609
2021-05-26,-0.4215
2021-05-27,-0.4353
2021-05-28,-0.4426
2021-05-29,-0.4059
2021-05-30,-0.3717
2021-05-31,-0.362
2021-06-01,-0.2827
2021-06-02,-0.2345
2021-06-03,-0.2873
2021-06-04,-0.3067
2021-06-05,-0.3501
2021-06-06,-0.4583
2021-06-07,-0.4138
2021-06-08,-0.4311
2021-06-09,-0.4466
2021-06-10,-0.4134
2021-06-11,-0.3926
2021-06-12,-0.373
2021-06-13,-0.3644
2021-06-14,-0.4303
2021-06-15,-0.4801
2021-06-16,-0.5168
2021-06-17,-0.5598
2021-06-18,-0.612
2021-06-19,-0.6555
2021-06-20,-0.6429
2021-06-21,-0.6468
2021-06-22,-0.6246
2021-06-23,-0.617
2021-06-24,-0.5951
2021-06-25,-0.5443
2021-06-26,-0.5815
2021-06-27,-0.5691
2021-06-28,-0.5425
2021-06-29,-0.4926
2021-06-30,-0.4778
2021-07-01,-0.4694
2021-07-02,-0.4802
2021-07-03,-0.4286
2021-07-04,-0.4529
2021-07-05,-0.4023
2021-07-06,-0.4176
2021-07-07,-0.3887
2021-07-08,-0.3267
2021-07-09,-0.3193
2021-07-10,-0.2199
2021-07-11,-0.1774
2021-07-12,-0.1798
2021-07-13,-0.2162
2021-07-14,-0.1883
2021-07-15,-0.1951
2021-07-16,-0.2145
2021-07-17,-0.2366
2021-07-18,-0.2425
2021-07-19,-0.2094
2021-07-20,-0.1598
2021-07-21,-0.1398
2021-07-22,-0.1456
2021-07-23,-0.1822
2021-07-24,-0.2436
2021-07-25,-0.3536
2021-07-26,-0.401
2021-07-27,-0.4393
2021-07-28,-0.4934
2021-07-29,-0.4999
2021-07-30,-0.5023
2021-07-31,-0.4069
2021-08-01,-0.3498
2021-08-02,-0.3682
2021-08-03,-0.3679
2021-08-04,-0.3549
2021-08-05,-0.3445
2021-08-06,-0.154
2021-08-07,-0.1769
2021-08-08,-0.0007
2021-08-09,-0.0131
2021-08-10,-0.0197
2021-08-11,0.0463
2021-08-12,0.0438
2021-08-13,-0.1456
2021-08-14,-0.1729
2021-08-15,-0.324
2021-08-16,-0.353
2021-08-17,-0.4204
2021-08-18,-0.5716
2021-08-19,-0.6356
2021-08-20,-0.632
2021-08-21,-0.6581
2021-08-22,-0.6021
2021-08-23,-0.6231
2021-08-24,-0.5568
2021-08-25,-0.5109
2021-08-26,-0.4663
2021-08-27,-0.4355
2021-08-28,-0.4323
2021-08-29,-0.4882
2021-08-30,-0.5516
2021-08-31,-0.6876
2021-09-01,-0.6712
2021-09-02,-0.6736
2021-09-03,-0.6705
2021-09-04,-0.573
2021-09-05,-0.464
2021-09-06,-0.3475
2021-09-07,-0.2596
2021-09-08,-0.2373
2021-09-09,-0.2199
2021-09-10,-0.2051
2021-09-11,-0.3667
2021-09-12,-0.5446
2021-09-13,-0.5122
2021-09-14,-0.4277
2021-09-15,-0.5021
2021-09-16,-0.4872
2021-09-17,-0.4458
2021-09-18,-0.5119
2021-09-19,-0.3973
2021-09-20,-0.4422
2021-09-21,-0.5039
2021-09-22,-0.4305
2021-09-23,-0.4265
2021-09-24,-0.4797
2021-09-25,-0.3982
2021-09-26,-0.4929
2021-09-27,-0.5481
2021-09-28,-0.6209
2021-09-29,-0.6998
2021-09-30,-0.8178
2021-10-01,-0.9024
2021-10-02,-0.9314
2021-10-03,-0.9934
2021-10-04,-1.013
2021-10-05,-1.0261
2021-10-06,-1.0555
2021-10-07,-0.9877
2021-10-08,-0.9645
2021-10-09,-0.9418
2021-10-10,-0.8385
2021-10-11,-0.82
2021-10-12,-0.7864
2021-10-13,-0.7298
2021-10-14,-0.804
2021-10-15,-0.8028
2021-10-16,-0.7874
2021-10-17,-0.7959
2021-10-18,-0.6987
2021-10-19,-0.6824
2021-10-20,-0.7108
2021-10-21,-0.6834
2021-10-22,-0.5447
2021-10-23,-0.4665
2021-10-24,-0.3558
2021-10-25,-0.3899
2021-10-26,-0.5789
2021-10-27,-0.5547
2021-10-28,-0.454
2021-10-29,-0.5635
2021-10-30,-0.5918
2021-10-31,-0.6937
2021-11-01,-0.6478
2021-11-02,-0.3879
2021-11-03,-0.3186
2021-11-04,-0.3761
2021-11-05,-0.3537
2021-11-06,-0.3701
2021-11-07,-0.3704
2021-11-08,-0.4183
2021-11-09,-0.4107
2021-11-10,-0.4297
2021-11-11,-0.3872
2021-11-12,-0.357
2021-11-13,-0.2903
2021-11-14,-0.2681
2021-11-15,-0.2699
2021-11-16,-0.2625
2021-11-17,-0.3036
2021-11-18,-0.2921
2021-11-19,-0.3555
2021-11-20,-0.4376
2021-11-21,-0.4918
2021-11-22,-0.443
2021-11-23,-0.4803
2021-11-24,-0.4228
2021-11-25,-0.3855
2021-11-26,-0.2903
2021-11-27,-0.2277
2021-11-28,-0.1706
2021-11-29,-0.2021
2021-11-30,-0.182
2021-12-01,-0.2127
2021-12-02,-0.26
2021-12-03,-0.2725
2021-12-04,-0.2765
2021-12-05,-0.1904
2021-12-06,-0.1503
2021-12-07,-0.1571
2021-12-08,-0.0473
2021-12-09,0.0416
2021-12-10,0.1085
2021-12-11,0.1584
2021-12-12,0.1096
2021-12-13,0.1244
2021-12-14,0.2144
2021-12-15,0.0873
2021-12-16,0.07
2021-12-17,-0.0288
2021-12-18,-0.1902
2021-12-19,-0.1737
2021-12-20,-0.2604
2021-12-21,-0.3804
2021-12-22,-0.3593
2021-12-23,-0.4051
2021-12-24,-0.3456
2021-12-25,-0.0778
2021-12-26,0.2074
2021-12-27,0.4593
2021-12-28,0.5667
2021-12-29,0.5284
2021-12-30,0.4854
2021-12-31,0.5977
