Date,insp_soy_lbs,insp_soy_bu,insp_soy_4wk_avg,insp_soy_yoy,insp_soy_zscore
2017-12-07,2740832204,45680536.733333334,64755915.27916667,-0.3258845684787528,0.3264723473237047
2017-12-14,3959497715,65991628.583333336,60319859.69583333,0.024864521833081854,1.154550627962365
2017-12-21,2836970866,47282847.766666666,56302009.6375,-0.26120177637031605,0.4073878651778075
2017-12-28,2669250579,44487509.65,50860630.68333333,-0.24429319990580178,0.3055720564320651
2018-01-04,1140304350,19005072.5,44191764.625,0.12821589017622137,-0.7560964438846141
2018-01-11,2744791135,45746518.916666664,39130487.20833333,-0.1248192337192755,0.3628423987052029
2018-01-18,3135122548,52252042.46666667,40372785.88333333,0.09747914937635738,0.6292632607042591
2018-01-25,2495939505,41598991.75,39650656.40833333,-0.3100671411332364,0.20247619803391118
2018-02-01,2875986678,47933111.3,46882666.108333334,-0.20932021109578813,0.4825894490289785
2018-02-08,2953410594,49223509.9,47751913.85416667,0.16603437987645409,0.5303297177607429
2018-02-15,2121003003,35350050.05,43526415.75,-0.11956910129022491,-0.0518863993232163
2018-02-22,1692525750,28208762.5,40178858.4375,0.08065085303661923,-0.35559695584210865
2018-03-01,2245159871,37419331.18333333,37550413.40833333,0.07455036405511994,0.03175360509827064
2018-03-08,2050847344,34180789.06666667,33789733.2,0.37199308662569064,-0.11299290694614615
2018-03-15,1103382770,18389712.833333332,29549648.895833332,-0.32737460262231266,-0.7716362740502021
2018-03-22,1565382634,26089710.566666666,29019885.9125,0.27607677865965097,-0.45247170319218544
2018-03-29,1286656460,21444274.333333332,25026121.7,-0.07038407514250145,-0.6471796869866642
2018-04-05,840426476,14007107.933333334,19982701.416666664,-0.5558869280619202,-0.9394185635353719
2018-04-12,984326840,16405447.333333334,19486635.041666668,-0.01778446862666161,-0.8384602290353702
2018-04-19,1041366280,17356104.666666668,17303233.566666666,-0.2708480894983789,-0.7906520990788828
2018-04-26,1528968215,25482803.583333332,18312865.879166666,0.2507780375384452,-0.4563774699334282
2018-05-03,1179390730,19656512.166666668,19725216.9375,0.4413802400981446,-0.7080638190609803
2018-05-10,1540784110,25679735.166666668,22043788.895833332,1.4520133898371657,-0.4717789294322255
2018-05-17,2000083840,33334730.666666668,26038445.395833332,1.7466950095399016,-0.16585398702137633
2018-05-24,1281874440,21364574.0,25008888.0,0.6542116204315043,-0.690833658511912
2018-05-31,1263957673,21065961.216666665,25361250.262500003,0.9607899964776732,-0.7181693590854967
2018-06-07,1489549610,24825826.833333332,25147773.179166667,0.2568610981469017,-0.5603308181335739
2018-06-14,1805287370,30088122.833333332,24336121.22083333,1.802889843273718,-0.35125177776234073
2018-06-21,1139232125,18987202.083333332,23741778.241666667,0.5723352718848764,-0.8532295752013526
2018-06-28,1874196825,31236613.75,26284441.375,2.0149425952638294,-0.33078915537361925
2018-07-05,1472810080,24546834.666666668,26214693.333333332,0.400065278262258,-0.6420485669157925
2018-07-12,1405616635,23426943.916666668,24549398.604166668,1.1276538110509082,-0.7114294206589391
