Date,trends_interest,trends_norm
2023-01-14,49.58064516129032,-0.008387096774193595
2023-01-15,49.54838709677419,-0.009032258064516156
2023-01-16,49.516129032258064,-0.009677419354838719
2023-01-17,49.483870967741936,-0.010322580645161282
2023-01-18,49.45161290322581,-0.010967741935483843
2023-01-19,49.41935483870968,-0.011612903225806406
2023-01-20,49.38709677419355,-0.012258064516128968
2023-01-21,49.354838709677416,-0.012903225806451672
2023-01-22,49.32258064516129,-0.013548387096774235
2023-01-23,49.29032258064516,-0.014193548387096798
2023-01-24,49.25806451612903,-0.014838709677419359
2023-01-25,49.225806451612904,-0.015483870967741922
2023-01-26,49.193548387096776,-0.016129032258064484
2023-01-27,49.16129032258065,-0.016774193548387047
2023-01-28,49.12903225806452,-0.01741935483870961
2023-01-29,49.096774193548384,-0.018064516129032312
2023-01-30,49.064516129032256,-0.018709677419354875
2023-01-31,49.03225806451613,-0.019354838709677438
2023-02-01,49.0,-0.02
2023-02-02,49.0,-0.02
2023-02-03,49.0,-0.02
2023-02-04,49.0,-0.02
2023-02-05,49.0,-0.02
2023-02-06,49.0,-0.02
2023-02-07,49.0,-0.02
2023-02-08,49.0,-0.02
2023-02-09,49.0,-0.02
2023-02-10,49.0,-0.02
2023-02-11,49.0,-0.02
2023-02-12,49.0,-0.02
2023-02-13,49.0,-0.02
2023-02-14,49.0,-0.02
2023-02-15,49.0,-0.02
2023-02-16,49.0,-0.02
2023-02-17,49.0,-0.02
2023-02-18,49.0,-0.02
2023-02-19,49.0,-0.02
2023-02-20,49.0,-0.02
2023-02-21,49.0,-0.02
2023-02-22,49.0,-0.02
2023-02-23,49.0,-0.02
2023-02-24,49.0,-0.02
2023-02-25,49.0,-0.02
2023-02-26,49.0,-0.02
2023-02-27,49.0,-0.02
2023-02-28,49.0,-0.02
2023-03-01,49.0,-0.02
2023-03-02,48.903225806451616,-0.021935483870967686
2023-03-03,48.806451612903224,-0.023870967741935516
2023-03-04,48.70967741935484,-0.0258064516129032
2023-03-05,48.61290322580645,-0.027741935483871032
2023-03-06,48.516129032258064,-0.029677419354838717
2023-03-07,48.41935483870968,-0.031612903225806406
2023-03-08,48.32258064516129,-0.03354838709677423
2023-03-09,48.225806451612904,-0.03548387096774192
2023-03-10,48.12903225806452,-0.03741935483870961
