datetime,open,high,low,close,volume
2026-04-10 15:15:00+00:00,1174.25,1175.25,1173.5,1175.0,2987
2026-04-10 15:30:00+00:00,1175.0,1175.75,1174.5,1174.5,2843
2026-04-10 15:45:00+00:00,1174.5,1175.75,1173.5,1175.25,1707
2026-04-10 16:00:00+00:00,1175.25,1176.5,1174.25,1174.5,2656
2026-04-10 16:15:00+00:00,1174.25,1175.75,1174.25,1175.25,5548
2026-04-10 16:30:00+00:00,1175.5,1176.5,1175.25,1175.75,3484
2026-04-10 16:45:00+00:00,1175.75,1178.5,1175.5,1176.25,7117
2026-04-10 17:00:00+00:00,1176.25,1178.75,1176.25,1177.25,4242
2026-04-10 17:15:00+00:00,1177.25,1178.0,1176.75,1177.25,1853
2026-04-10 17:30:00+00:00,1177.25,1179.25,1177.25,1179.0,2333
2026-04-10 17:45:00+00:00,1178.75,1179.0,1177.75,1178.0,5296
2026-04-10 18:00:00+00:00,1177.75,1178.0,1175.25,1175.25,11199
2026-04-10 18:15:00+00:00,1175.25,1176.0,1174.25,1175.75,2608
2026-04-13 00:00:00+00:00,1177.0,1181.5,1174.5,1180.5,3328
2026-04-13 00:15:00+00:00,1180.5,1182.75,1179.5,1182.0,2854
2026-04-13 00:30:00+00:00,1182.0,1182.5,1181.75,1181.75,5107
2026-04-13 00:45:00+00:00,1182.0,1183.75,1181.75,1181.75,811
2026-04-13 01:00:00+00:00,1181.75,1181.75,1177.5,1179.0,1202
2026-04-13 01:15:00+00:00,1179.25,1179.75,1177.75,1179.0,601
2026-04-13 01:30:00+00:00,1179.25,1179.5,1175.5,1175.75,732
2026-04-13 01:45:00+00:00,1175.5,1176.25,1175.0,1175.75,302
2026-04-13 02:00:00+00:00,1176.0,1177.0,1175.25,1176.5,208
2026-04-13 02:15:00+00:00,1176.5,1177.0,1176.5,1177.0,29
2026-04-13 02:30:00+00:00,1176.75,1177.0,1176.25,1176.5,81
2026-04-13 02:45:00+00:00,1176.5,1176.75,1175.5,1176.25,97
2026-04-13 03:00:00+00:00,1176.25,1176.75,1176.0,1176.5,29
2026-04-13 03:15:00+00:00,1176.5,1176.5,1175.5,1175.75,63
2026-04-13 03:30:00+00:00,1175.5,1176.5,1175.5,1176.5,27
2026-04-13 03:45:00+00:00,1176.25,1176.75,1176.0,1176.75,39
2026-04-13 04:00:00+00:00,1176.5,1176.75,1176.25,1176.5,111
2026-04-13 04:15:00+00:00,1176.75,1176.75,1175.75,1175.75,181
2026-04-13 04:30:00+00:00,1175.5,1175.75,1175.25,1175.5,21
2026-04-13 04:45:00+00:00,1175.75,1176.0,1175.75,1176.0,29
2026-04-13 05:00:00+00:00,1175.75,1175.75,1174.5,1174.75,209
2026-04-13 05:15:00+00:00,1174.5,1175.0,1174.0,1174.25,214
2026-04-13 05:30:00+00:00,1174.25,1174.5,1172.5,1172.75,360
2026-04-13 05:45:00+00:00,1173.0,1173.25,1172.25,1173.0,140
2026-04-13 06:00:00+00:00,1172.75,1173.5,1172.75,1173.0,255
2026-04-13 06:15:00+00:00,1173.0,1173.0,1172.0,1172.25,244
2026-04-13 06:30:00+00:00,1172.5,1172.5,1172.0,1172.25,161
2026-04-13 06:45:00+00:00,1172.0,1172.25,1171.5,1172.25,133
2026-04-13 07:00:00+00:00,1172.25,1173.25,1171.75,1171.75,401
2026-04-13 07:15:00+00:00,1172.0,1172.5,1172.0,1172.0,253
2026-04-13 07:30:00+00:00,1172.0,1173.25,1172.0,1172.25,443
2026-04-13 07:45:00+00:00,1172.25,1173.0,1171.5,1173.0,165
2026-04-13 08:00:00+00:00,1172.75,1173.25,1171.5,1173.25,1047
2026-04-13 08:15:00+00:00,1173.5,1174.25,1173.25,1173.75,1843
2026-04-13 08:30:00+00:00,1173.5,1175.75,1173.5,1175.75,1935
2026-04-13 08:45:00+00:00,1175.5,1175.5,1174.5,1175.25,782
2026-04-13 09:00:00+00:00,1175.0,1175.75,1174.5,1175.5,330
2026-04-13 09:15:00+00:00,1175.5,1175.5,1175.0,1175.0,253
2026-04-13 09:30:00+00:00,1175.0,1176.5,1174.75,1176.5,214
2026-04-13 09:45:00+00:00,1176.25,1177.0,1176.25,1176.25,338
2026-04-13 10:00:00+00:00,1176.25,1176.25,1175.75,1176.25,121
2026-04-13 10:15:00+00:00,1176.25,1176.75,1176.25,1176.25,57
2026-04-13 10:30:00+00:00,1176.0,1176.25,1174.75,1175.0,179
2026-04-13 10:45:00+00:00,1175.0,1175.75,1174.0,1175.5,310
2026-04-13 11:00:00+00:00,1175.25,1175.25,1174.25,1174.5,253
2026-04-13 11:15:00+00:00,1174.25,1175.0,1174.25,1174.75,124
2026-04-13 11:30:00+00:00,1174.75,1175.25,1173.75,1175.0,263
2026-04-13 11:45:00+00:00,1174.75,1175.75,1174.25,1175.0,429
2026-04-13 12:00:00+00:00,1175.0,1175.5,1173.75,1175.25,395
2026-04-13 12:15:00+00:00,1175.25,1175.5,1174.0,1174.0,393
2026-04-13 12:30:00+00:00,1174.25,1174.75,1173.25,1174.75,610
2026-04-13 13:30:00+00:00,1174.0,1176.5,1169.25,1175.5,11813
2026-04-13 13:45:00+00:00,1175.5,1176.75,1171.25,1171.75,4884
2026-04-13 14:00:00+00:00,1171.75,1173.5,1170.25,1171.25,5411
2026-04-13 14:15:00+00:00,1171.0,1172.0,1170.25,1171.5,5621
2026-04-13 14:30:00+00:00,1171.5,1171.75,1167.0,1167.5,6233
2026-04-13 14:45:00+00:00,1167.25,1168.25,1165.75,1166.0,4060
2026-04-13 15:00:00+00:00,1166.0,1168.5,1165.75,1167.5,2871
2026-04-13 15:15:00+00:00,1167.5,1169.5,1167.0,1168.5,4228
2026-04-13 15:30:00+00:00,1168.25,1169.5,1167.0,1168.75,1676
2026-04-13 15:45:00+00:00,1168.75,1169.25,1167.25,1167.75,5038
2026-04-13 16:00:00+00:00,1167.5,1169.0,1166.5,1168.25,1729
2026-04-13 16:15:00+00:00,1168.25,1168.25,1167.0,1167.25,1417
2026-04-13 16:30:00+00:00,1167.5,1167.75,1163.5,1165.75,3618
2026-04-13 16:45:00+00:00,1165.75,1167.5,1165.75,1166.25,1832
2026-04-13 17:00:00+00:00,1166.5,1169.25,1166.0,1168.75,4297
2026-04-13 17:15:00+00:00,1169.0,1169.5,1168.0,1168.0,1686
2026-04-13 17:30:00+00:00,1168.0,1168.0,1163.25,1163.25,5387
2026-04-13 17:45:00+00:00,1163.5,1164.75,1162.75,1163.0,3666
2026-04-13 18:00:00+00:00,1163.0,1163.5,1161.75,1161.75,10399
2026-04-13 18:15:00+00:00,1162.0,1162.25,1160.0,1160.75,8439
2026-04-14 00:00:00+00:00,1160.5,1163.0,1158.25,1162.25,345
2026-04-14 00:15:00+00:00,1162.5,1164.25,1161.5,1162.0,615
2026-04-14 00:30:00+00:00,1162.5,1162.5,1161.25,1161.5,248
2026-04-14 00:45:00+00:00,1161.5,1162.0,1161.25,1162.0,203
2026-04-14 01:00:00+00:00,1162.25,1164.0,1162.0,1163.75,558
2026-04-14 01:15:00+00:00,1163.75,1164.75,1163.5,1164.75,258
2026-04-14 01:30:00+00:00,1164.5,1164.75,1164.0,1164.25,105
2026-04-14 01:45:00+00:00,1164.0,1164.25,1163.0,1163.25,261
2026-04-14 02:00:00+00:00,1163.25,1163.5,1162.5,1163.25,85
2026-04-14 02:15:00+00:00,1163.0,1163.25,1162.25,1162.5,63
2026-04-14 02:30:00+00:00,1162.75,1163.0,1162.25,1162.75,192
2026-04-14 02:45:00+00:00,1162.75,1162.75,1162.25,1162.25,544
2026-04-14 03:00:00+00:00,1162.25,1163.5,1162.25,1163.5,89
2026-04-14 03:15:00+00:00,1163.5,1164.5,1162.75,1163.0,94
2026-04-14 03:30:00+00:00,1163.0,1163.0,1162.25,1162.75,30
2026-04-14 03:45:00+00:00,1162.5,1162.75,1162.5,1162.5,34
2026-04-14 04:00:00+00:00,1162.5,1162.75,1162.25,1162.25,23
2026-04-14 04:15:00+00:00,1162.5,1162.5,1162.0,1162.5,70
2026-04-14 04:30:00+00:00,1162.75,1162.75,1162.5,1162.75,21
2026-04-14 04:45:00+00:00,1162.75,1163.25,1162.75,1163.0,37
2026-04-14 05:00:00+00:00,1163.25,1163.25,1162.75,1162.75,84
2026-04-14 05:15:00+00:00,1162.75,1162.75,1162.5,1162.75,11
2026-04-14 05:30:00+00:00,1162.5,1163.25,1162.5,1163.25,151
2026-04-14 05:45:00+00:00,1163.25,1163.25,1163.0,1163.25,32
2026-04-14 06:00:00+00:00,1163.25,1163.25,1162.75,1162.75,54
2026-04-14 06:15:00+00:00,1162.75,1163.5,1162.75,1163.5,67
2026-04-14 06:30:00+00:00,1163.5,1163.75,1162.5,1163.0,66
2026-04-14 06:45:00+00:00,1163.25,1164.0,1163.25,1163.5,41
2026-04-14 07:00:00+00:00,1163.25,1163.75,1162.5,1163.5,719
2026-04-14 07:15:00+00:00,1163.5,1164.0,1163.0,1163.0,222
2026-04-14 07:30:00+00:00,1163.0,1164.25,1163.0,1164.0,125
2026-04-14 07:45:00+00:00,1164.0,1164.75,1163.5,1164.25,67
2026-04-14 08:00:00+00:00,1164.5,1165.25,1164.25,1164.75,242
2026-04-14 08:15:00+00:00,1164.75,1165.25,1164.75,1165.25,127
2026-04-14 08:30:00+00:00,1165.25,1165.75,1164.75,1165.0,108
2026-04-14 08:45:00+00:00,1165.25,1165.5,1165.0,1165.0,2382
2026-04-14 09:00:00+00:00,1165.0,1165.0,1164.0,1164.75,100
2026-04-14 09:15:00+00:00,1164.75,1165.0,1164.0,1164.5,2861
2026-04-14 09:30:00+00:00,1164.25,1164.5,1163.75,1164.0,1490
