entry_dt,exit_dt,side,entry,exit,n,exit_tag,gross_pnl,net_pnl,bars_held
2026-02-24 05:50:00+00:00,2026-02-24 06:10:00+00:00,SELL,1144.875,1147.3159,1,SL,-12.2,-13.68,4
2026-02-25 09:00:00+00:00,2026-02-25 09:20:00+00:00,SELL,1159.375,1162.2465,1,SL,-14.36,-15.84,4
2026-02-25 10:10:00+00:00,2026-02-25 10:30:00+00:00,SELL,1158.375,1161.1845,1,SL,-14.05,-15.530000000000001,4
2026-02-25 12:15:00+00:00,2026-02-25 13:05:00+00:00,SELL,1157.375,1160.0823,1,SL,-13.54,-15.02,10
2026-02-26 01:10:00+00:00,2026-02-26 02:10:00+00:00,SELL,1166.375,1169.125,1,TIME,-13.75,-15.23,12
2026-02-26 08:40:00+00:00,2026-02-26 09:30:00+00:00,SELL,1168.375,1168.8009,1,TP,-2.13,-3.61,10
2026-02-26 09:35:00+00:00,2026-02-26 09:35:00+00:00,SELL,1166.625,1166.9248,1,TP,-1.5,-2.98,0
2026-02-27 09:20:00+00:00,2026-02-27 09:45:00+00:00,SELL,1166.625,1167.063,1,TP,-2.19,-3.67,5
2026-02-27 09:50:00+00:00,2026-02-27 10:00:00+00:00,SELL,1165.125,1167.7514,1,SL,-13.13,-14.610000000000001,2
2026-02-27 10:05:00+00:00,2026-02-27 10:20:00+00:00,SELL,1165.125,1167.8048,1,SL,-13.4,-14.88,3
2026-03-02 01:05:00+00:00,2026-03-02 01:20:00+00:00,SELL,1177.125,1172.7857,1,TP,21.7,20.22,3
2026-03-02 01:30:00+00:00,2026-03-02 02:20:00+00:00,BUY,1171.625,1165.9865,1,SL,-28.19,-29.67,10
2026-03-02 02:25:00+00:00,2026-03-02 03:25:00+00:00,BUY,1168.875,1169.125,1,TIME,1.25,-0.22999999999999998,12
2026-03-02 04:30:00+00:00,2026-03-02 05:05:00+00:00,BUY,1171.375,1168.2575,1,SL,-15.59,-17.07,7
2026-03-03 05:50:00+00:00,2026-03-03 06:25:00+00:00,SELL,1171.625,1171.604,1,TP,0.1,-1.38,7
2026-03-03 06:35:00+00:00,2026-03-03 06:40:00+00:00,SELL,1168.625,1171.9862,1,SL,-16.81,-18.29,1
2026-03-03 06:45:00+00:00,2026-03-03 07:45:00+00:00,SELL,1170.375,1172.125,1,TIME,-8.75,-10.23,12
2026-03-04 08:50:00+00:00,2026-03-04 09:50:00+00:00,SELL,1174.625,1175.125,1,TIME,-2.5,-3.98,12
2026-03-04 10:15:00+00:00,2026-03-04 11:15:00+00:00,SELL,1170.375,1172.625,1,TIME,-11.25,-12.73,12
2026-03-04 12:45:00+00:00,2026-03-04 14:30:00+00:00,SELL,1168.375,1171.9884,1,SL,-18.07,-19.55,12
2026-03-05 12:20:00+00:00,2026-03-05 12:35:00+00:00,SELL,1172.875,1173.057,1,TP,-0.91,-2.39,3
2026-03-05 12:40:00+00:00,2026-03-05 13:00:00+00:00,SELL,1170.875,1173.6646,1,SL,-13.95,-15.43,4
2026-03-05 13:05:00+00:00,2026-03-05 13:20:00+00:00,SELL,1172.375,1172.1672,1,TP,1.04,-0.43999999999999995,3
2026-03-06 13:15:00+00:00,2026-03-06 14:30:00+00:00,SELL,1188.375,1192.4185,1,SL,-20.22,-21.7,6
2026-03-06 14:35:00+00:00,2026-03-06 14:45:00+00:00,SELL,1198.625,1203.5097,1,SL,-24.42,-25.900000000000002,2
2026-03-06 14:50:00+00:00,2026-03-06 15:00:00+00:00,SELL,1199.625,1195.4707,1,TP,20.77,19.29,2
2026-03-06 15:25:00+00:00,2026-03-06 16:25:00+00:00,SELL,1197.125,1194.875,1,TIME,11.25,9.77,12
2026-03-09 00:05:00+00:00,2026-03-09 00:20:00+00:00,BUY,1220.625,1213.9541,1,SL,-33.35,-34.83,3
2026-03-09 00:30:00+00:00,2026-03-09 01:00:00+00:00,BUY,1219.125,1226.0153,1,TP,34.45,32.970000000000006,6
2026-03-09 01:15:00+00:00,2026-03-09 02:15:00+00:00,BUY,1228.375,1229.125,1,TIME,3.75,2.27,12
2026-03-09 02:20:00+00:00,2026-03-09 03:20:00+00:00,SELL,1228.875,1229.875,1,TIME,-5.0,-6.48,12
2026-03-09 03:30:00+00:00,2026-03-09 04:30:00+00:00,BUY,1228.125,1229.875,1,TIME,8.75,7.27,12
2026-03-09 04:50:00+00:00,2026-03-09 05:00:00+00:00,BUY,1233.875,1229.6657,1,SL,-21.05,-22.53,2
2026-03-10 00:10:00+00:00,2026-03-10 00:15:00+00:00,SELL,1187.125,1193.5644,1,SL,-32.2,-33.68,1
